UI element | セル | pos=6,1235 | size=37x44
button | ボタン | pos=5,1234 | size=39x46
row | ひょうの行 | pos=0,1279 | size=49x44
UI element | セル | pos=6,1279 | size=37x44
button | ボタン | pos=5,1278 | size=39x46
row | ひょうの行 | pos=0,1323 | size=49x44
UI element | セル | pos=6,1323 | size=37x44
button | ボタン | pos=5,1322 | size=39x46
row | ひょうの行 | pos=0,1367 | size=49x44
UI element | セル | pos=6,1367 | size=37x44
button | Show more | pos=5,1366 | size=39x46
column | 列 | pos=0,839 | size=49x572
scroll bar | スクロールバー | pos=48,838 | size=13x2
value indicator | 値インジケータ | pos=49,841 | size=11x16
button | 上向きページボタン | pos=49,839 | size=11x18
button | 下向きページボタン | pos=49,839 | size=11x2
button | ライブラリを拡大 | pos=9,847 | size=50x30
button | ボタン | pos=72,847 | size=50x30
button | Automixパネルを表示l | pos=1798,847 | size=50x30
button | ライブラリインスペクタを隠す | pos=1861,847 | size=50x30
toolbar | ツールバー | pos=0,43 | size=1920x38
group | グループ | pos=76,43 | size=327x38
button |  | pos=81,47 | size=34x30
button |  | pos=123,47 | size=34x30
button |  | pos=176,47 | size=50x30
button |  | pos=234,47 | size=50x30
button |  | pos=292,47 | size=50x30
button |  | pos=350,47 | size=50x30
group | グループ | pos=908,43 | size=104x38
image | icon titlebar djay pro | pos=911,51 | size=98x22
group | グループ | pos=1650,43 | size=266x38
button |  | pos=1653,47 | size=50x30
button |  | pos=1711,47 | size=50x30
button | ボタン | pos=1780,47 | size=123x30
button | 閉じるボタン | pos=11,54 | size=16x16
button | フルスクリーンボタン | pos=51,54 | size=16x16
group | グループ | pos=52,54 | size=14x16
group | グループ | pos=52,54 | size=14x16
button | しまうボタン | pos=31,54 | size=16x16
